,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,500 FR,200 IM,50 FR,1000 FR,400 IM,100 FL,200 FR,100 BR,100 BK,1650 FR,200 BK,100 FR,200 BR,200 FL,1M,3M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ma, Steven",Brown,,,,,,,,54.86,,,,,2:00.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skipper, James (D)",Brown,,,,,,,,,,,,,,,273.66,276.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salles, Marcel Mateos (D)",Brown,,,,,,,,,,,,,,,261.38,279.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wu, Adam",Columbia,4:14.74,,,8:51.64,,,1:33.90,,,15:36.31,,43.58,,1:43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhukov, Stephen",Columbia,4:20.77,1:49.81,,8:55.28,3:51.16,,1:39.16,,,14:58.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vasser, Zach",Columbia,4:21.84,,,8:53.42,,,,,,14:59.91,,,,1:50.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santos, Gian",Columbia,4:22.02,1:48.58,,9:19.50,3:52.22,,1:35.48,,,,,44.72,1:59.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ahn, Seungjoon",Columbia,4:23.92,,,,,47.41,1:37.85,,,,,,,1:43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Ethan",Columbia,4:27.26,,,,,,1:37.61,58.23,,,,45.57,2:05.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Won, Kyle",Columbia,4:28.01,1:49.61,,,3:54.23,,1:38.21,,48.07,,1:44.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Key, Bryce",Columbia,4:29.45,,,9:09.52,,,1:41.69,,,15:25.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hitchens, Derek",Columbia,4:29.82,1:48.47,,,,48.29,1:35.78,,47.19,,1:47.20,43.73,,1:46.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Qin, Alston",Columbia,4:29.88,1:51.84,,,3:55.68,,1:38.86,55.20,,15:58.87,,,2:00.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Troy, Padraig",Columbia,4:30.52,,,9:29.47,,,,,,15:51.33,1:46.85,46.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Roach, Seth",Columbia,4:31.37,,,9:28.15,,49.20,1:39.72,,,15:50.55,,,,1:46.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dietz, William",Columbia,4:31.60,,,,,,1:38.99,,50.08,,1:49.27,45.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jacobbe, Nathan",Columbia,4:33.73,1:50.66,,,3:52.95,,,,,15:54.19,,,,1:49.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Brian (FY)",Columbia,4:35.56,,,,3:59.99,48.22,,,,,,,,1:47.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cai, Allen",Columbia,4:39.79,,20.69,,,48.56,1:38.47,,49.73,,,45.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Brian",Columbia,,,20.35,,,46.60,,,,,,45.47,,1:46.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yan, Jerry",Columbia,,,,,,47.53,,,48.80,,1:46.19,,,1:47.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Makour, Ryan",Columbia,,1:49.81,,,,47.66,,,50.91,,,,,1:45.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Lucas",Columbia,,,20.39,,,47.80,,,,,,45.00,,1:48.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carter, Holden",Columbia,,,,,,48.29,,,49.44,,,,,1:47.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Obochi, Kevin",Columbia,,,20.20,,,48.32,1:41.13,,,,,44.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beers, Isaac",Columbia,,,20.36,,,48.55,,,46.64,,1:41.98,45.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elmasry, Ali",Columbia,,1:48.01,,,3:54.64,48.59,,55.64,,,,,1:58.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang, Michael",Columbia,,1:48.28,,,3:53.13,,,54.33,,,,,1:59.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Binder, Alekos",Columbia,,,,,3:57.57,,,55.50,,,,,2:00.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pak, Ryan",Columbia,,1:51.79,,,4:00.30,,,55.10,,,,,1:59.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James, Zion",Columbia,,,19.37,,,,,,49.47,,,42.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eckert, Samuel",Columbia,,,19.67,,,,1:44.70,55.37,,,,44.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yang, Beri",Columbia,,1:48.89,20.61,,,,1:39.53,53.64,,,,45.49,1:58.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kong, Kevin",Columbia,,,20.70,,,,,,49.79,,1:48.00,45.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dettloff, Dylan",Columbia,,,21.49,,,,,,,,,47.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Corn, Josh",Columbia,,1:49.30,,,,,,52.19,,,,,1:52.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sacca, David",Columbia,,1:56.70,,,,,,58.01,,,,,2:07.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NIcol, Joseph (dive)",Columbia,,,,,,,,,,,,,,,283.22,332.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cooley, Will (dive)",Columbia,,,,,,,,,,,,,,,286.84,305.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong, Derek (D)",Columbia,,,,,,,,,,,,,,,267.00,279.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lu, Mackenzie (D)",Columbia,,,,,,,,,,,,,,,255.60,263.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Correa, Julian",Cornell,4:21.25,,,9:05.32,3:47.04,,1:38.91,,,15:16.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grove, Jacques",Cornell,4:23.18,,,,3:59.76,47.11,1:38.36,,48.88,,1:47.56,44.16,,1:44.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ubertalli, Pietro",Cornell,4:23.82,1:42.60,20.66,,3:56.28,,1:33.01,,45.29,,1:38.99,44.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baumann, Clay",Cornell,4:26.81,,,9:20.27,,,1:38.60,,,15:32.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dankert, Owen",Cornell,4:29.29,,,9:14.92,3:57.75,,,,,15:39.54,,,,1:48.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garvin, Duke",Cornell,4:29.51,,,9:19.65,,,,,,15:31.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shaaban, Alan (no sw ty)",Cornell,4:31.32,,,9:22.09,,,,,,15:34.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cerda, Leonel",Cornell,4:33.83,,,,,48.92,1:39.98,,,,,,,1:47.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koehnle, Thai",Cornell,4:34.10,1:52.26,,,4:00.06,49.94,1:39.12,,,,,45.30,,1:51.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brophy, Reid",Cornell,4:34.42,1:48.73,20.71,9:39.98,3:59.95,,1:39.65,55.28,,,,45.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Will",Cornell,4:34.75,1:50.05,,,3:59.41,,1:37.75,,,,,45.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caputo, Quinn",Cornell,4:36.48,1:49.20,,,3:59.78,,1:41.22,,49.87,,1:47.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vanderloo, JP",Cornell,4:37.71,,,9:33.94,,,1:41.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Conway, Blake",Cornell,4:38.49,1:50.82,20.79,9:36.72,,49.64,,,46.50,,1:42.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Simoes, Daniel",Cornell,,1:48.79,19.85,,,47.13,1:37.62,,50.42,,,43.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Andrew",Cornell,,1:54.86,20.55,,,47.92,,,49.02,,1:50.38,,,1:47.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wywrocki, Michael",Cornell,,1:50.86,21.73,,,48.81,,,49.32,,1:47.60,47.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marsh, Mac",Cornell,,1:52.01,20.28,,,49.61,,54.95,,,,44.69,2:02.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grgurovic, Aaron",Cornell,,,22.05,,,49.74,,,,,,,,1:51.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gadson, Emmanuel",Cornell,,,,,,49.74,,54.76,,,,,1:57.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xu, Haihan",Cornell,,1:48.78,,,3:55.54,,,52.47,,,,,1:56.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Toothman, Josh",Cornell,,,19.63,,,,1:39.82,,47.86,,,44.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Koschmann, Soren",COrnell,,,20.73,,,,1:39.64,,49.62,,1:47.03,44.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ubertalli, Zeno",Cornell,,,21.17,,,,,,48.23,,1:46.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anagnason, Gabe",Cornell,,1:46.42,,,,,,,47.27,,1:42.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Osadsky, Philip",Cornell,,1:51.91,,,,,,54.31,,,,45.01,1:57.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reis-Trovillion, Max (Dive)",Cornell,,,,,,,,,,,,,,,276.12,289.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Klingensmith, William (D)",Cornell,,,,,,,,,,,,,,,256.33,256.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schedler, Brock",Cornell,,,,,,,,55.48,,,,45.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buskirk, Peter (D)",Cornell,,,,,,,,,,,,,,,227.60,236.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Erwin, Tommy",Dartmouth,4:27.55,,,9:12.36,3:57.36,,1:39.78,,,15:23.74,1:45.97,46.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dvoretskiy, Yan",Dartmouth,4:28.99,1:48.29,,9:17.88,,47.30,1:36.01,57.45,,15:54.11,,,,1:43.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turner, Jacob",Dartmouth,4:29.39,1:44.71,,,3:46.27,48.73,1:36.93,54.93,49.66,,1:44.97,44.80,1:55.29,1:44.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rasmussen, Colton",Dartmouth,4:33.36,,20.37,,,,1:38.34,,47.39,,,44.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orlic, Xavier",Dartmouth,4:35.48,,,9:35.86,,,1:42.42,,,16:12.20,,47.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stewart, Ian",Dartmouth,4:35.64,,,,,,1:40.76,,50.17,,1:48.74,46.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fahey, Ronan (no swim ty)",Dartmouth,4:37.68,,,9:27.63,,,,,,15:54.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wallace, Reed",Dartmouth,4:41.34,1:51.14,,9:24.37,3:57.30,,1:41.28,,49.69,,1:46.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stachtiaris, Jagger",Dartmouth,,1:47.50,,,,46.99,,,48.68,,1:47.36,,,1:46.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chou, Andrew",Dartmouth,,1:47.64,,,4:00.08,47.19,1:39.00,,46.67,,1:43.35,,,1:47.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McClelland, William",Dartmouth,,,19.65,,,47.31,,,50.01,,,44.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pack, Logan",Dartmouth,,,19.80,,,47.84,1:40.37,,48.06,,,43.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sandvig, Aiden",Dartmouth,,,21.06,,,48.29,,,50.23,,,,,1:49.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peterson, Andy",Dartmouth,,1:52.78,,,,49.06,,,49.22,,1:47.67,,,1:48.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jung, Jihoon",Dartmouth,,1:48.02,,,3:52.65,49.09,,55.34,,,,,1:57.14,1:47.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weigel, Isaac",Dartmouth,,1:49.85,20.82,,,49.74,1:35.85,56.32,,15:58.57,,44.43,,1:46.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gal, David",Dartmouth,,1:46.77,,,3:52.33,,1:38.11,,,,1:50.45,,,1:47.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, Eddy (no swim ty)",Dartmouth,,1:54.05,,,4:13.12,,,54.74,,,,,1:59.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gustavson, Dean (no swim ty)",Dartmouth,,,21.20,,,,1:46.87,,,,,46.43,,1:47.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kushnirsky, David",Dartmouth,,1:52.17,,,,,,53.81,,,,,1:59.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Brandon",Dartmouth,,2:00.56,,,,,,56.66,,,,,2:04.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyman, McCoy (D)",Dartmouth,,,,,,,,,,,,,,,311.00,358.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tai, Everett (D)",Dartmouth,,,,,,,,,,,,,,,288.25,312.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lesch, Aryeh (D)",Dartmouth,,,,,,,,,,,,,,,264.66,299.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Man, Adam (D)",Dartmouth,,,,,,,,,,,,,,,259.80,283.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"King, Mason (D)",Dartmouth,,,,,,,,,,,,,,,249.80,262.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Solomon, Michael (D)",Dartmouth,,,,,,,,,,,,,,,249.20,214.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mulgrew, William",Harvard,4:19.78,,,8:55.13,,,1:38.67,,,14:48.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martinez, Pablo",Harvard,4:20.28,,,9:00.64,,,,,,15:06.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dalby, Tristan ",Harvard,4:22.45,,20.20,9:13.96,,,1:36.17,,,15:56.37,,44.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pilipovic, Ongjen",Harvard,4:23.34,,,9:18.91,,48.00,1:37.31,,,15:28.11,,,,1:46.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aistars, Anders",Harvard,4:24.11,1:49.92,,9:17.54,,,1:35.91,,,15:32.50,,44.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baffico, Felipe",Harvard,4:28.71,,,,3:52.74,47.72,1:37.56,,,,,,,1:46.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Croley, Evan",Harvard,4:28.75,,19.88,,,47.90,1:37.59,55.83,46.89,,1:46.52,43.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poplawski, Richard",Harvard,4:28.84,1:46.47,,,3:47.30,,1:37.90,,,15:42.12,1:47.02,,,1:46.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iravul, Mert",Harvard,4:30.29,1:47.00,,,3:57.13,,,,,,1:48.40,,,1:47.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greeley, David",Harvard,4:32.56,1:50.36,19.71,,,,1:33.97,,,,,42.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rados, Vito",Harvard,4:46.78,,,,,,,56.15,,,,,2:04.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wang, Sonny",Harvard,,,19.25,,,45.53,1:37.44,,,,,42.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schmitt, David",Harvard,,1:48.96,,,,45.75,,,46.54,,,,,1:40.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miknic, Maro",Harvard,,,19.79,,,46.22,,,,,,43.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arioti, Adriano",Harvard,,1:43.58,,,3:49.49,46.63,1:37.27,,46.95,,1:40.55,,,1:42.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pilkinton, Oliver",Harvard,,,19.98,,,46.96,1:40.63,,47.32,,,43.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gattnar, Marre",Harvard,,,19.52,,,47.08,1:34.64,,46.95,,1:46.22,42.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Browne, Will",Harvard,,1:47.72,19.95,,,47.57,1:36.15,,,,,43.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
